country,iso_code,population,generation_twh,solar_share,wind_share,solar_wind_share,fossil_share,low_carbon_share,carbon_intensity_gco2_kwh,demand_per_capita_kwh
Japan,JPN,123753041,1016.39,9.51,1.14,10.65,68.71,31.29,483.43,8213.05
Jordan,JOR,11552885,23.67,16.6,7.39,24.0,75.92,24.08,529.79,2054.03
Kazakhstan,KAZ,20592574,118.51,1.58,4.14,5.72,84.79,15.21,802.04,5872.02
Kenya,KEN,56432946,13.26,4.98,16.36,21.34,8.52,91.48,85.22,261.37
Kiribati,KIR,134521,0.04,25.0,0.0,25.0,75.0,25.0,500.0,297.35
Kuwait,KWT,4934508,92.49,0.23,2.01,2.24,97.76,2.24,635.2,18743.51
Kyrgyzstan,KGZ,7186014,15.77,0.0,0.0,0,11.22,88.78,119.21,2678.82
Laos,LAO,7769823,52.31,0.17,0.0,0.17,23.28,76.72,232.08,2009.06
Latvia,LVA,1871874,6.33,8.53,4.42,12.95,26.54,73.46,134.28,3953.26
Lebanon,LBN,5805962,5.34,29.96,0.19,30.15,56.18,43.82,389.51,919.74
Lesotho,LSO,2337428,0.0,,,0,,,,248.14
Liberia,LBR,5612813,0.57,1.75,0.0,1.75,45.61,54.39,315.79,101.55
Libya,LBY,7381029,34.59,0.03,0.0,0.03,99.97,0.03,826.83,4686.34
Lithuania,LTU,2859112,7.39,18.95,46.14,65.09,15.7,84.3,116.37,4473.42
Luxembourg,LUX,673042,1.51,23.84,30.46,54.3,9.27,90.73,132.45,10043.95
Macao,MAC,720270,0.78,0.0,0.0,0,69.23,30.77,474.36,8718.95
Madagascar,MDG,31964960,2.43,4.12,0.0,4.12,57.61,42.39,432.1,76.02
Malawi,MWI,21655288,1.83,0.55,0.0,0.55,4.37,95.63,54.65,83.58
Malaysia,MYS,35557670,198.12,2.08,0.0,2.08,79.63,20.37,600.44,5541.42
Maldives,MDV,527801,0.85,7.06,0.0,7.06,92.94,7.06,611.77,1610.45
Mali,MLI,24478597,5.96,2.85,0.0,2.85,80.54,19.46,538.59,223.05
Malta,MLT,539612,2.19,15.07,0.0,15.07,84.47,15.53,488.58,5856.06
Mauritania,MRT,5169403,2.07,7.73,4.83,12.56,77.3,22.7,512.08,458.47
Mauritius,MUS,1271171,3.41,4.99,0.29,5.28,82.11,17.89,642.23,2682.57
Mexico,MEX,130861001,355.18,7.24,5.56,12.8,75.42,24.58,483.14,2711.81
Moldova,MDA,3034967,6.07,1.65,3.46,5.11,89.29,10.71,634.27,1996.73
Mongolia,MNG,3475541,8.82,2.38,5.78,8.16,91.16,8.84,810.66,3320.35
Montenegro,MNE,638481,3.53,1.7,7.65,9.35,40.51,59.49,422.1,5278.15
Montserrat,MSR,4414,0.01,0.0,0.0,0,100.0,0.0,1000.0,2265.52
Morocco,MAR,38081176,42.4,5.68,16.72,22.41,75.59,24.41,594.81,1180.11
Mozambique,MOZ,34631767,19.79,0.4,0.0,0.4,16.57,83.43,129.36,476.15
Myanmar,MMR,54500086,21.71,0.55,0.0,0.55,52.14,47.86,502.99,402.2
Namibia,NAM,3030127,1.64,35.37,1.22,36.59,2.44,97.56,48.78,1333.28
Nauru,NRU,11968,0.05,20.0,0.0,20.0,80.0,20.0,600.0,4177.81
Nepal,NPL,29651054,11.13,1.08,0.09,1.17,0.0,100.0,24.26,371.99
Netherlands,NLD,18228740,122.33,17.84,27.37,45.21,46.34,53.66,250.72,6479.33
New Caledonia,NCL,292655,3.12,8.33,1.28,9.62,73.08,26.92,560.9,10661.02
New Zealand,NZL,5213942,44.01,0.84,9.79,10.63,14.02,85.98,112.02,8440.83
Nicaragua,NIC,6916136,4.52,0.66,12.39,13.05,37.61,62.39,300.89,783.67
